Model,Questions,Reponses,Temps,Reponses_Attendues
Microsoft-Phi2,What are the symptoms of Parkinson's Disease?,"What are the symptoms of Parkinson's Disease?
The symptoms of Parkinson's Disease are:
- Tremor (shaking)
- Rigidity (stiffness)
- Bradykinesia (slowness of movement)
- Postural instability (balance problems)
- Speech and swallowing difficulties
- Constipation
- Sleep disturbances
- Depression
- Dementia
- Fatigue
- Loss of sense of smell
- Loss of sense of taste
- Loss of sense of touch
- Loss of bladder control
- Loss of sexual function
- Loss of facial expression
- Loss of automatic movements (e.g. blinking, smiling, swinging arms)
- Loss of automatic postural adjustments (e.g. leaning forward when walking)
- Loss of automatic movements of the tongue (e.g. chewing, swallowing)
- Loss of automatic movements of the eyes (e.g. blinking, rolling eyes)
- Loss of automatic",10.794450521469116,Treatment includes medications (levodopa) and deep brain stimulation.
Microsoft-Phi2,How is HIV/AIDS diagnosed?,"How is HIV/AIDS diagnosed?
A blood test is used to diagnose HIV infection. The test looks for antibodies to HIV in the blood. Antibodies are proteins that the body makes to fight off infections. The test can detect antibodies to HIV as early as 2 to 4 weeks after infection.
How is HIV/AIDS treated?
There is no cure for HIV/AIDS. However, there are medicines that can help people with HIV/AIDS live longer and healthier lives. These medicines are called antiretroviral therapy (ART). ART can help keep the virus under control and prevent it from damaging the immune system. ART can also reduce the risk of transmitting HIV to others.
What are the symptoms of HIV/AIDS?
The symptoms of HIV/AIDS can vary depending on the stage of the disease. In the early stages, people with HIV/AIDS may not have any symptoms. As the disease progresses, people may experience symptoms such as fever, fatigue, weight loss,",9.852439403533936,Treatment includes antiretroviral therapy (ART) to control the virus.
Microsoft-Phi2,How can I manage my Dengue Fever?,"How can I manage my Dengue Fever?
Dengue Fever is a viral infection that is transmitted by mosquitoes. It is a common disease in tropical and subtropical regions. The symptoms of Dengue Fever include fever, headache, muscle and joint pain, rash, and nausea. There is no specific treatment for Dengue Fever, but the symptoms can be managed with rest, fluids, and pain relievers.
What are the symptoms of Dengue Fever?
Dengue Fever is a viral infection that is transmitted by mosquitoes. The symptoms of Dengue Fever include fever, headache, muscle and joint pain, rash, and nausea. The fever usually lasts for 3-7 days and the symptoms usually go away on their own. However, in some cases, the fever can last for longer and the symptoms can become more severe. If you think you have Dengue Fever, it is important to see a doctor as soon as possible.
How can I prevent Dengue Fever?
",9.471009492874146,Diagnosis involves blood tests to detect the virus or its antibodies.
Microsoft-Phi2,Can Glaucoma be prevented?,"Can Glaucoma be prevented?
Glaucoma cannot be prevented, but it can be detected early and treated to prevent vision loss.
What are the symptoms of Glaucoma?
Glaucoma is a silent disease. There are no symptoms in the early stages. As the disease progresses, you may experience blurred vision, eye pain, halos around lights, and tunnel vision.
What are the risk factors for Glaucoma?
The risk factors for Glaucoma include:
- Age: Glaucoma is more common in people over the age of 60.
- Family history: If you have a family history of Glaucoma, you are at a higher risk of developing the disease.
- Race: Glaucoma is more common in African Americans, Hispanics, and Asians.
- Medical conditions: Certain medical conditions, such as diabetes and high blood pressure, can increase your risk of developing Glaucoma",10.606019258499146,Preventing Glaucoma involves regular eye exams and maintaining eye health.
Microsoft-Phi2,Can Endometriosis be prevented?,"Can Endometriosis be prevented?
There is no known way to prevent endometriosis. However, there are some things that may help reduce your risk of developing endometriosis. These include:
- Eating a healthy diet
- Exercising regularly
- Avoiding smoking and alcohol
- Limiting your exposure to environmental toxins
- Getting regular check-ups with your doctor
If you are experiencing symptoms of endometriosis, it is important to see your doctor. Early diagnosis and treatment can help reduce the risk of complications and improve your quality of life.
What are the symptoms of Endometriosis?
The symptoms of endometriosis can vary from person to person. Some common symptoms include:
- Painful periods
- Pain during sex
- Painful bowel movements or urination
- Infertility
- Heavy bleeding during periods
- Fatigue
- Nausea and vomiting
- Constipation
- Diarrhea
",10.070480585098267,Endometriosis is caused by the abnormal growth of tissue outside the uterus.
Microsoft-Phi2,How can I manage my Multiple Sclerosis?,"How can I manage my Multiple Sclerosis?
The best way to manage MS is to work with your healthcare team to develop a treatment plan that is right for you.
What is the outlook for people with Multiple Sclerosis?
The outlook for people with MS is good. Most people with MS can expect to live a normal lifespan.
What is the difference between Multiple Sclerosis and MS?
Multiple Sclerosis is a chronic disease of the central nervous system (CNS) that affects the brain, spinal cord, and optic nerves. MS is a type of autoimmune disease, which means that the body's immune system attacks its own tissues.
What is the difference between Multiple Sclerosis and MS?
Multiple Sclerosis (MS) is a chronic disease of the central nervous system (CNS) that affects the brain, spinal cord, and optic nerves. MS is a type of autoimmune disease, which means that the body's immune system attacks its own tissues.
What is the difference",9.13730001449585,"Parkinson's Disease symptoms include tremors, stiffness, and impaired balance."
Microsoft-Phi2,How is Cancer diagnosed?,"How is Cancer diagnosed?
Cancer is diagnosed by a biopsy. A biopsy is a procedure in which a small sample of tissue is removed from the body and examined under a microscope. The sample is usually taken from the tumor itself, but it can also be taken from nearby lymph nodes or other organs.
What are the different types of Cancer?
There are many different types of cancer, but they all share some common characteristics. Cancer is a disease in which cells grow and divide uncontrollably. This can lead to the formation of tumors, which can invade nearby tissues and spread to other parts of the body.
What are the symptoms of Cancer?
The symptoms of cancer vary depending on the type and stage of the disease. Some common symptoms include fatigue, weight loss, pain, and changes in bowel or bladder habits.
What are the risk factors for Cancer?
There are many risk factors for cancer, including smoking, exposure to radiation and chemicals, and a family history of",10.350024223327637,Symptoms vary depending on the type and stage of cancer.
Microsoft-Phi2,What treatment options are available for Endometriosis?,"What treatment options are available for Endometriosis?
Endometriosis is a chronic condition that can be managed with a variety of treatment options. These include pain medication, hormonal therapy, and surgery.

What is the role of a doctor in treating Endometriosis?
A doctor plays a crucial role in diagnosing and treating Endometriosis. They will work with the patient to develop a treatment plan that is tailored to their individual needs.

What is the importance of a healthy diet in managing Endometriosis?
A healthy diet can help to reduce inflammation and improve overall health, which can be beneficial for those with Endometriosis. Foods that are high in antioxidants, such as fruits and vegetables, can be particularly helpful.

What is the role of exercise in managing Endometriosis?
Exercise can help to reduce pain and improve overall health, which can be beneficial for those with Endometriosis. Low-impact exercises,",9.884268999099731,"Managing Endometriosis involves pain management, hormonal therapies, and surgical interventions."
Microsoft-Phi2,How can I manage my Diabetes?,"How can I manage my Diabetes?
The best way to manage your diabetes is to follow a healthy diet, exercise regularly, and take your medication as prescribed by your doctor. It is also important to monitor your blood sugar levels regularly and make adjustments to your treatment plan as needed.
What are the complications of Diabetes?
If left untreated, diabetes can lead to serious complications such as heart disease, stroke, kidney disease, nerve damage, and vision loss. It is important to manage your diabetes properly to prevent these complications.
What is the difference between Type 1 and Type 2 Diabetes?
Type 1 diabetes is an autoimmune disease in which the body's immune system attacks and destroys the cells in the pancreas that produce insulin. Type 2 diabetes is a metabolic disorder in which the body becomes resistant to insulin or does not produce enough insulin to maintain normal blood sugar levels.
What is the best way to prevent Diabetes?
The best way to prevent diabetes is to maintain a healthy weight, eat",9.28596544265747,"Medication adherence, blood sugar monitoring."
Microsoft-Phi2,How is Dengue Fever diagnosed?,"How is Dengue Fever diagnosed?
Dengue fever is diagnosed by a blood test.
How is Dengue Fever treated?
There is no specific treatment for dengue fever. Treatment is aimed at relieving the symptoms.
How can Dengue Fever be prevented?
There is no vaccine for dengue fever. The best way to prevent dengue fever is to avoid mosquito bites.
What is the prognosis of Dengue Fever?
Dengue fever is a self-limiting disease. Most people recover completely within a week. However, in some cases, dengue fever can lead to severe complications such as dengue hemorrhagic fever and dengue shock syndrome. These complications can be life-threatening.
What are the complications of Dengue Fever?
Dengue fever can lead to severe complications such as dengue hemorrhagic fever and dengue shock syndrome. These complications can be life-threatening.
What are the",10.119050741195679,"Lifestyle changes include avoiding alcohol, practicing safe sex, and maintaining a healthy diet."
Falcon-7b,What are the symptoms of Parkinson's Disease?,"What are the symptoms of Parkinson's Disease?
Symptoms of Parkinson's Disease include tremors, slow movement, stiffness, and problems with coordination and balance. Other symptoms may include difficulty swallowing, changes in speech patterns, and a decrease in facial expressions.",3.680781364440918,Treatment includes medications (levodopa) and deep brain stimulation.
Falcon-7b,How is HIV/AIDS diagnosed?,"How is HIV/AIDS diagnosed?
HIV/AIDS can be diagnosed using a variety of tests, including HIV antibody tests, HIV DNA tests, and rapid HIV tests. The most accurate test is a combination of several tests, which can detect the virus at different stages of infection.",4.535125970840454,Treatment includes antiretroviral therapy (ART) to control the virus.
Falcon-7b,How can I manage my Dengue Fever?,"How can I manage my Dengue Fever?
Dengue fever is a serious health condition caused by a virus spread by female mosquitoes. The main symptom is severe headache and fever that lasts three to 10 days. To manage the disease, you should take rest for at least five to six days, drink plenty of fluids, avoid pain relievers, and use mosquito nets to prevent mosquito bites. If you or someone you know is suffering from Dengue fever, it's essential to consult a healthcare professional immediately, especially if you develop severe complications.",8.15184998512268,Diagnosis involves blood tests to detect the virus or its antibodies.
Falcon-7b,Can Glaucoma be prevented?,"Can Glaucoma be prevented?
While there is no guaranteed way to prevent glaucoma, it can be managed through regular eye exams, healthy lifestyle choices, and early detection of the disease.",2.7832906246185303,Preventing Glaucoma involves regular eye exams and maintaining eye health.
Falcon-7b,Can Endometriosis be prevented?,"Can Endometriosis be prevented?
It is difficult to definitively say that endometriosis can be prevented, since it is largely dependent on genetics. However, there are certain lifestyle changes and treatments that can help reduce the risk of developing the condition, such as maintaining a healthy weight and avoiding smoking. It's also important to seek medical attention if you experience any abnormal symptoms related to endometriosis, such as pain or fertility issues.</s> 
What are some of the treatments or lifestyle changes that can help reduce the risk of developing endometriosis?</s> 
1. Maintaining a healthy weight to reduce the risk of endometriosis
2. Exercise regularly to reduce stress and improve overall reproductive health
3. Eating a low-fiber diet to avoid constipation and help maintain regular menstrual cycles
4. Avoid using scented soaps or tampons in the genital area to reduce exposure to chemicals
5. Use birth control or other hormonal treatments to regulate menstrual cycles or reduce endomet",16.23218607902527,Endometriosis is caused by the abnormal growth of tissue outside the uterus.
Falcon-7b,How can I manage my Multiple Sclerosis?,"How can I manage my Multiple Sclerosis?
There are several ways to manage Multiple Sclerosis. Some treatments may include medications, physical therapy, and lifestyle changes such as a healthy diet. It is important to work closely with your healthcare team to develop an individualized treatment plan. Additionally, there may be support groups and resources available for individuals living with Multiple Sclerosis.",5.4552531242370605,"Parkinson's Disease symptoms include tremors, stiffness, and impaired balance."
Falcon-7b,How is Cancer diagnosed?,"How is Cancer diagnosed?
Cancer is usually diagnosed through a series of tests that may include blood tests, imaging tests such as xrays and CT scans, biopsies, and other diagnostic tests. It can be a complex process that requires a multi-faceted approach.",4.2166361808776855,Symptoms vary depending on the type and stage of cancer.
Falcon-7b,What treatment options are available for Endometriosis?,"What treatment options are available for Endometriosis?
Treatment options for Endometriosis typically involve pain management, hormone therapy, or surgery removal of endometrial tissue. Some women may also benefit from fertility treatment. It is important to consult with a healthcare professional to determine the best treatment plan for each individual case.",4.63530707359314,"Managing Endometriosis involves pain management, hormonal therapies, and surgical interventions."
Falcon-7b,How can I manage my Diabetes?,"How can I manage my Diabetes?
To manage diabetes, it is important to keep a balanced diet, exercise regularly, and take medication or insulin if prescribed by a healthcare professional. It is also important to regularly monitor your blood sugar levels and manage your stress levels to help prevent complications from diabetes.",4.537087678909302,"Medication adherence, blood sugar monitoring."
Falcon-7b,How is Dengue Fever diagnosed?,"How is Dengue Fever diagnosed?
Dengue fever can be diagnosed through several methods, including laboratory tests such as PCR and Dengue IgM antibody tests. The symptoms include high fever, severe headache, muscle pain, and a skin rash. It is important to consult a healthcare professional if you suspect you have Dengue fever.",4.925387144088745,"Lifestyle changes include avoiding alcohol, practicing safe sex, and maintaining a healthy diet."
